Secteur,trimestre,code_region,code_dep,nombre_creation,Quartile_MOY,Quartile_CV
Activites de services administratifs et de soutien,2018,84,15,43,3,4
Activites de services administratifs et de soutien,2018,84,26,74,3,4
Activites de services administratifs et de soutien,2018,84,38,228,3,4
Activites de services administratifs et de soutien,2018,84,42,118,3,4
Activites de services administratifs et de soutien,2018,84,43,34,3,4
Activites de services administratifs et de soutien,2018,84,63,71,3,4
Activites de services administratifs et de soutien,2018,84,69,379,3,4
Activites de services administratifs et de soutien,2018,84,73,108,3,4
Activites de services administratifs et de soutien,2018,84,74,135,3,4
Activites de services administratifs et de soutien,2018,93,4,49,3,4
Activites de services administratifs et de soutien,2018,93,5,37,3,4
Activites de services administratifs et de soutien,2018,93,6,344,3,4
Activites de services administratifs et de soutien,2018,93,13,397,3,4
Activites de services administratifs et de soutien,2018,93,83,287,3,4
Activites de services administratifs et de soutien,2018,93,84,120,3,4
Activites de services administratifs et de soutien,2018,94,2A,64,3,4
Activites de services administratifs et de soutien,2018,94,2B,53,3,4
Activites de services administratifs et de soutien,2019,1,971,462,3,4
Activites de services administratifs et de soutien,2019,2,972,787,3,4
Activites de services administratifs et de soutien,2019,3,973,57,3,4
Activites de services administratifs et de soutien,2019,4,974,314,3,4
Activites de services administratifs et de soutien,2019,6,976,12,3,4
Activites de services administratifs et de soutien,2019,11,75,941,3,4
Activites de services administratifs et de soutien,2019,11,77,308,3,4
Activites de services administratifs et de soutien,2019,11,78,227,3,4
Activites de services administratifs et de soutien,2019,11,91,241,3,4
Activites de services administratifs et de soutien,2019,11,92,303,3,4
Activites de services administratifs et de soutien,2019,11,93,392,3,4
Activites de services administratifs et de soutien,2019,11,94,277,3,4
Activites de services administratifs et de soutien,2019,11,95,252,3,4
Activites de services administratifs et de soutien,2019,24,18,54,3,4
Activites de services administratifs et de soutien,2019,24,28,106,3,4
Activites de services administratifs et de soutien,2019,24,36,31,3,4
Activites de services administratifs et de soutien,2019,24,37,80,3,4
Activites de services administratifs et de soutien,2019,24,41,68,3,4
Activites de services administratifs et de soutien,2019,24,45,116,3,4
Activites de services administratifs et de soutien,2019,27,21,106,3,4
Activites de services administratifs et de soutien,2019,27,25,70,3,4
Activites de services administratifs et de soutien,2019,27,39,63,3,4
Activites de services administratifs et de soutien,2019,27,58,27,3,4
Activites de services administratifs et de soutien,2019,27,70,77,3,4
Activites de services administratifs et de soutien,2019,27,71,90,3,4
Activites de services administratifs et de soutien,2019,27,89,48,3,4
Activites de services administratifs et de soutien,2019,27,90,23,3,4
Activites de services administratifs et de soutien,2019,28,14,123,3,4
Activites de services administratifs et de soutien,2019,28,27,84,3,4
Activites de services administratifs et de soutien,2019,28,50,106,3,4
Activites de services administratifs et de soutien,2019,28,61,62,3,4
Activites de services administratifs et de soutien,2019,28,76,156,3,4
Activites de services administratifs et de soutien,2019,28,14,1,3,4
Activites de services administratifs et de soutien,2019,32,2,75,3,4
Activites de services administratifs et de soutien,2019,32,59,269,3,4
Activites de services administratifs et de soutien,2019,32,60,174,3,4
Activites de services administratifs et de soutien,2019,32,62,192,3,4
Activites de services administratifs et de soutien,2019,32,80,83,3,4
Activites de services administratifs et de soutien,2019,44,8,39,3,4
Activites de services administratifs et de soutien,2019,44,10,54,3,4
Activites de services administratifs et de soutien,2019,44,51,109,3,4
Activites de services administratifs et de soutien,2019,44,52,27,3,4
Activites de services administratifs et de soutien,2019,44,54,94,3,4
Activites de services administratifs et de soutien,2019,44,55,13,3,4
Activites de services administratifs et de soutien,2019,44,57,120,3,4
Activites de services administratifs et de soutien,2019,44,67,133,3,4
Activites de services administratifs et de soutien,2019,44,68,86,3,4
Activites de services administratifs et de soutien,2019,44,88,58,3,4
Activites de services administratifs et de soutien,2019,44,88,2,3,4
Activites de services administratifs et de soutien,2019,52,44,202,3,4
Activites de services administratifs et de soutien,2019,52,49,92,3,4
Activites de services administratifs et de soutien,2019,52,53,46,3,4
Activites de services administratifs et de soutien,2019,52,72,53,3,4
Activites de services administratifs et de soutien,2019,52,85,130,3,4
Activites de services administratifs et de soutien,2019,53,22,77,3,4
Activites de services administratifs et de soutien,2019,53,29,102,3,4
Activites de services administratifs et de soutien,2019,53,35,135,3,4
Activites de services administratifs et de soutien,2019,53,56,145,3,4
Activites de services administratifs et de soutien,2019,75,16,87,3,4
Activites de services administratifs et de soutien,2019,75,17,152,3,4
Activites de services administratifs et de soutien,2019,75,19,58,3,4
Activites de services administratifs et de soutien,2019,75,23,28,3,4
Activites de services administratifs et de soutien,2019,75,24,130,3,4
Activites de services administratifs et de soutien,2019,75,33,370,3,4
Activites de services administratifs et de soutien,2019,75,40,129,3,4
Activites de services administratifs et de soutien,2019,75,47,63,3,4
Activites de services administratifs et de soutien,2019,75,64,131,3,4
Activites de services administratifs et de soutien,2019,75,79,47,3,4
Activites de services administratifs et de soutien,2019,75,86,72,3,4
Activites de services administratifs et de soutien,2019,75,87,54,3,4
Activites de services administratifs et de soutien,2019,75,40,1,3,4
Activites de services administratifs et de soutien,2019,76,9,40,3,4
Activites de services administratifs et de soutien,2019,76,11,128,3,4
Activites de services administratifs et de soutien,2019,76,12,61,3,4
Activites de services administratifs et de soutien,2019,76,30,195,3,4
Activites de services administratifs et de soutien,2019,76,31,307,3,4
Activites de services administratifs et de soutien,2019,76,32,82,3,4
Activites de services administratifs et de soutien,2019,76,34,265,3,4
Activites de services administratifs et de soutien,2019,76,46,30,3,4
Activites de services administratifs et de soutien,2019,76,48,10,3,4
Activites de services administratifs et de soutien,2019,76,65,73,3,4
Activites de services administratifs et de soutien,2019,76,66,101,3,4
Activites de services administratifs et de soutien,2019,76,81,81,3,4
Activites de services administratifs et de soutien,2019,76,82,49,3,4
Activites de services administratifs et de soutien,2019,84,1,144,3,4
Activites de services administratifs et de soutien,2019,84,3,58,3,4
Activites de services administratifs et de soutien,2019,84,7,65,3,4
Activites de services administratifs et de soutien,2019,84,15,37,3,4
Activites de services administratifs et de soutien,2019,84,26,78,3,4
Activites de services administratifs et de soutien,2019,84,38,264,3,4
Activites de services administratifs et de soutien,2019,84,42,131,3,4
Activites de services administratifs et de soutien,2019,84,43,36,3,4
Activites de services administratifs et de soutien,2019,84,63,92,3,4
Activites de services administratifs et de soutien,2019,84,69,466,3,4
Activites de services administratifs et de soutien,2019,84,73,116,3,4
Activites de services administratifs et de soutien,2019,84,74,162,3,4
Activites de services administratifs et de soutien,2019,93,4,64,3,4
Activites de services administratifs et de soutien,2019,93,5,38,3,4
Activites de services administratifs et de soutien,2019,93,6,443,3,4
Activites de services administratifs et de soutien,2019,93,13,478,3,4
Activites de services administratifs et de soutien,2019,93,83,341,3,4
Activites de services administratifs et de soutien,2019,93,84,132,3,4
Activites de services administratifs et de soutien,2019,94,2A,61,3,4
Activites de services administratifs et de soutien,2019,94,2B,51,3,4
Activites de services administratifs et de soutien,2020,1,971,309,3,4
Activites de services administratifs et de soutien,2020,2,972,661,3,4
Activites de services administratifs et de soutien,2020,3,973,43,3,4
Activites de services administratifs et de soutien,2020,4,974,363,3,4
Activites de services administratifs et de soutien,2020,6,976,18,3,4
Activites de services administratifs et de soutien,2020,11,75,730,3,4
Activites de services administratifs et de soutien,2020,11,77,287,3,4
Activites de services administratifs et de soutien,2020,11,78,273,3,4
Activites de services administratifs et de soutien,2020,11,91,215,3,4
Activites de services administratifs et de soutien,2020,11,92,300,3,4
Activites de services administratifs et de soutien,2020,11,93,408,3,4
Activites de services administratifs et de soutien,2020,11,94,255,3,4
Activites de services administratifs et de soutien,2020,11,95,226,3,4
Activites de services administratifs et de soutien,2020,24,18,54,3,4
Activites de services administratifs et de soutien,2020,24,28,108,3,4
Activites de services administratifs et de soutien,2020,24,36,65,3,4
Activites de services administratifs et de soutien,2020,24,37,64,3,4
Activites de services administratifs et de soutien,2020,24,41,72,3,4
Activites de services administratifs et de soutien,2020,24,45,117,3,4
Activites de services administratifs et de soutien,2020,24,28,1,3,4
Activites de services administratifs et de soutien,2020,27,21,97,3,4
Activites de services administratifs et de soutien,2020,27,25,90,3,4
Activites de services administratifs et de soutien,2020,27,39,58,3,4
Activites de services administratifs et de soutien,2020,27,58,50,3,4
Activites de services administratifs et de soutien,2020,27,70,77,3,4
Activites de services administratifs et de soutien,2020,27,71,114,3,4
Activites de services administratifs et de soutien,2020,27,89,64,3,4
Activites de services administratifs et de soutien,2020,27,90,28,3,4
Activites de services administratifs et de soutien,2020,28,14,127,3,4
Activites de services administratifs et de soutien,2020,28,27,81,3,4
Activites de services administratifs et de soutien,2020,28,50,103,3,4
Activites de services administratifs et de soutien,2020,28,61,65,3,4
Activites de services administratifs et de soutien,2020,28,76,181,3,4
Activites de services administratifs et de soutien,2020,32,2,97,3,4
Activites de services administratifs et de soutien,2020,32,59,264,3,4
Activites de services administratifs et de soutien,2020,32,60,179,3,4
Activites de services administratifs et de soutien,2020,32,62,176,3,4
Activites de services administratifs et de soutien,2020,32,80,75,3,4
Activites de services administratifs et de soutien,2020,44,8,51,3,4
Activites de services administratifs et de soutien,2020,44,10,47,3,4
Activites de services administratifs et de soutien,2020,44,51,93,3,4
Activites de services administratifs et de soutien,2020,44,52,38,3,4
Activites de services administratifs et de soutien,2020,44,54,108,3,4
Activites de services administratifs et de soutien,2020,44,55,27,3,4
Activites de services administratifs et de soutien,2020,44,57,127,3,4
Activites de services administratifs et de soutien,2020,44,67,160,3,4
Activites de services administratifs et de soutien,2020,44,68,92,3,4
Activites de services administratifs et de soutien,2020,44,88,76,3,4
