Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,12018,84,7,64
Activites de services administratifs et de soutien,12018,84,15,43
Activites de services administratifs et de soutien,12018,84,26,74
Activites de services administratifs et de soutien,12018,84,38,228
Activites de services administratifs et de soutien,12018,84,42,118
Activites de services administratifs et de soutien,12018,84,43,34
Activites de services administratifs et de soutien,12018,84,63,71
Activites de services administratifs et de soutien,12018,84,69,379
Activites de services administratifs et de soutien,12018,84,73,108
Activites de services administratifs et de soutien,12018,84,74,135
Activites de services administratifs et de soutien,12018,93,4,49
Activites de services administratifs et de soutien,12018,93,5,37
Activites de services administratifs et de soutien,12018,93,6,344
Activites de services administratifs et de soutien,12018,93,13,397
Activites de services administratifs et de soutien,12018,93,83,287
Activites de services administratifs et de soutien,12018,93,84,120
Activites de services administratifs et de soutien,12018,94,2A,64
Activites de services administratifs et de soutien,12018,94,2B,53
Activites de services administratifs et de soutien,12019,1,971,462
Activites de services administratifs et de soutien,12019,2,972,787
Activites de services administratifs et de soutien,12019,3,973,57
Activites de services administratifs et de soutien,12019,4,974,314
Activites de services administratifs et de soutien,12019,6,976,12
Activites de services administratifs et de soutien,12019,11,75,941
Activites de services administratifs et de soutien,12019,11,77,308
Activites de services administratifs et de soutien,12019,11,78,227
Activites de services administratifs et de soutien,12019,11,91,241
Activites de services administratifs et de soutien,12019,11,92,303
Activites de services administratifs et de soutien,12019,11,93,392
Activites de services administratifs et de soutien,12019,11,94,277
Activites de services administratifs et de soutien,12019,11,95,252
Activites de services administratifs et de soutien,12019,24,18,54
Activites de services administratifs et de soutien,12019,24,28,106
Activites de services administratifs et de soutien,12019,24,36,31
Activites de services administratifs et de soutien,12019,24,37,80
Activites de services administratifs et de soutien,12019,24,41,68
Activites de services administratifs et de soutien,12019,24,45,116
Activites de services administratifs et de soutien,12019,27,21,106
Activites de services administratifs et de soutien,12019,27,25,70
Activites de services administratifs et de soutien,12019,27,39,63
Activites de services administratifs et de soutien,12019,27,58,27
Activites de services administratifs et de soutien,12019,27,70,77
Activites de services administratifs et de soutien,12019,27,71,90
Activites de services administratifs et de soutien,12019,27,89,48
Activites de services administratifs et de soutien,12019,27,90,23
Activites de services administratifs et de soutien,12019,28,14,123
Activites de services administratifs et de soutien,12019,28,27,84
Activites de services administratifs et de soutien,12019,28,50,106
Activites de services administratifs et de soutien,12019,28,61,62
Activites de services administratifs et de soutien,12019,28,76,156
Activites de services administratifs et de soutien,12019,28,14,1
Activites de services administratifs et de soutien,12019,32,2,75
Activites de services administratifs et de soutien,12019,32,59,269
Activites de services administratifs et de soutien,12019,32,60,174
Activites de services administratifs et de soutien,12019,32,62,192
Activites de services administratifs et de soutien,12019,32,80,83
Activites de services administratifs et de soutien,12019,44,8,39
Activites de services administratifs et de soutien,12019,44,10,54
Activites de services administratifs et de soutien,12019,44,51,109
Activites de services administratifs et de soutien,12019,44,52,27
Activites de services administratifs et de soutien,12019,44,54,94
Activites de services administratifs et de soutien,12019,44,55,13
Activites de services administratifs et de soutien,12019,44,57,120
Activites de services administratifs et de soutien,12019,44,67,133
Activites de services administratifs et de soutien,12019,44,68,86
Activites de services administratifs et de soutien,12019,44,88,58
Activites de services administratifs et de soutien,12019,44,88,2
Activites de services administratifs et de soutien,12019,52,44,202
Activites de services administratifs et de soutien,12019,52,49,92
Activites de services administratifs et de soutien,12019,52,53,46
Activites de services administratifs et de soutien,12019,52,72,53
Activites de services administratifs et de soutien,12019,52,85,130
Activites de services administratifs et de soutien,12019,53,22,77
Activites de services administratifs et de soutien,12019,53,29,102
Activites de services administratifs et de soutien,12019,53,35,135
Activites de services administratifs et de soutien,12019,53,56,145
Activites de services administratifs et de soutien,12019,75,16,87
Activites de services administratifs et de soutien,12019,75,17,152
Activites de services administratifs et de soutien,12019,75,19,58
Activites de services administratifs et de soutien,12019,75,23,28
Activites de services administratifs et de soutien,12019,75,24,130
Activites de services administratifs et de soutien,12019,75,33,370
Activites de services administratifs et de soutien,12019,75,40,129
Activites de services administratifs et de soutien,12019,75,47,63
Activites de services administratifs et de soutien,12019,75,64,131
Activites de services administratifs et de soutien,12019,75,79,47
Activites de services administratifs et de soutien,12019,75,86,72
Activites de services administratifs et de soutien,12019,75,87,54
Activites de services administratifs et de soutien,12019,75,40,1
Activites de services administratifs et de soutien,12019,76,9,40
Activites de services administratifs et de soutien,12019,76,11,128
Activites de services administratifs et de soutien,12019,76,12,61
Activites de services administratifs et de soutien,12019,76,30,195
Activites de services administratifs et de soutien,12019,76,31,307
Activites de services administratifs et de soutien,12019,76,32,82
Activites de services administratifs et de soutien,12019,76,34,265
Activites de services administratifs et de soutien,12019,76,46,30
Activites de services administratifs et de soutien,12019,76,48,10
Activites de services administratifs et de soutien,12019,76,65,73
Activites de services administratifs et de soutien,12019,76,66,101
Activites de services administratifs et de soutien,12019,76,81,81
Activites de services administratifs et de soutien,12019,76,82,49
Activites de services administratifs et de soutien,12019,84,1,144
Activites de services administratifs et de soutien,12019,84,3,58
Activites de services administratifs et de soutien,12019,84,7,65
Activites de services administratifs et de soutien,12019,84,15,37
Activites de services administratifs et de soutien,12019,84,26,78
Activites de services administratifs et de soutien,12019,84,38,264
Activites de services administratifs et de soutien,12019,84,42,131
Activites de services administratifs et de soutien,12019,84,43,36
Activites de services administratifs et de soutien,12019,84,63,92
Activites de services administratifs et de soutien,12019,84,69,466
Activites de services administratifs et de soutien,12019,84,73,116
Activites de services administratifs et de soutien,12019,84,74,162
Activites de services administratifs et de soutien,12019,93,4,64
Activites de services administratifs et de soutien,12019,93,5,38
Activites de services administratifs et de soutien,12019,93,6,443
Activites de services administratifs et de soutien,12019,93,13,478
Activites de services administratifs et de soutien,12019,93,83,341
Activites de services administratifs et de soutien,12019,93,84,132
Activites de services administratifs et de soutien,12019,94,2A,61
Activites de services administratifs et de soutien,12019,94,2B,51
Activites de services administratifs et de soutien,12020,1,971,309
Activites de services administratifs et de soutien,12020,2,972,661
Activites de services administratifs et de soutien,12020,3,973,43
Activites de services administratifs et de soutien,12020,4,974,363
Activites de services administratifs et de soutien,12020,6,976,18
Activites de services administratifs et de soutien,12020,11,75,730
Activites de services administratifs et de soutien,12020,11,77,287
Activites de services administratifs et de soutien,12020,11,78,273
Activites de services administratifs et de soutien,12020,11,91,215
Activites de services administratifs et de soutien,12020,11,92,300
Activites de services administratifs et de soutien,12020,11,93,408
Activites de services administratifs et de soutien,12020,11,94,255
Activites de services administratifs et de soutien,12020,11,95,226
Activites de services administratifs et de soutien,12020,24,18,54
Activites de services administratifs et de soutien,12020,24,28,108
Activites de services administratifs et de soutien,12020,24,36,65
Activites de services administratifs et de soutien,12020,24,37,64
Activites de services administratifs et de soutien,12020,24,41,72
Activites de services administratifs et de soutien,12020,24,45,117
Activites de services administratifs et de soutien,12020,24,28,1
Activites de services administratifs et de soutien,12020,27,21,97
Activites de services administratifs et de soutien,12020,27,25,90
Activites de services administratifs et de soutien,12020,27,39,58
Activites de services administratifs et de soutien,12020,27,58,50
Activites de services administratifs et de soutien,12020,27,70,77
Activites de services administratifs et de soutien,12020,27,71,114
Activites de services administratifs et de soutien,12020,27,89,64
Activites de services administratifs et de soutien,12020,27,90,28
Activites de services administratifs et de soutien,12020,28,14,127
Activites de services administratifs et de soutien,12020,28,27,81
Activites de services administratifs et de soutien,12020,28,50,103
Activites de services administratifs et de soutien,12020,28,61,65
Activites de services administratifs et de soutien,12020,28,76,181
Activites de services administratifs et de soutien,12020,32,2,97
Activites de services administratifs et de soutien,12020,32,59,264
Activites de services administratifs et de soutien,12020,32,60,179
Activites de services administratifs et de soutien,12020,32,62,176
Activites de services administratifs et de soutien,12020,32,80,75
Activites de services administratifs et de soutien,12020,44,8,51
Activites de services administratifs et de soutien,12020,44,10,47
Activites de services administratifs et de soutien,12020,44,51,93
Activites de services administratifs et de soutien,12020,44,52,38
Activites de services administratifs et de soutien,12020,44,54,108
Activites de services administratifs et de soutien,12020,44,55,27
Activites de services administratifs et de soutien,12020,44,57,127
Activites de services administratifs et de soutien,12020,44,67,160
Activites de services administratifs et de soutien,12020,44,68,92
Activites de services administratifs et de soutien,12020,44,88,76
Activites de services administratifs et de soutien,12020,52,44,208
Activites de services administratifs et de soutien,12020,52,49,103
Activites de services administratifs et de soutien,12020,52,53,41
Activites de services administratifs et de soutien,12020,52,72,51
Activites de services administratifs et de soutien,12020,52,85,140
Activites de services administratifs et de soutien,12020,52,44,2
Activites de services administratifs et de soutien,12020,53,22,72
Activites de services administratifs et de soutien,12020,53,29,111
Activites de services administratifs et de soutien,12020,53,35,170
Activites de services administratifs et de soutien,12020,53,56,128
Activites de services administratifs et de soutien,12020,75,16,109
Activites de services administratifs et de soutien,12020,75,17,162
Activites de services administratifs et de soutien,12020,75,19,78
Activites de services administratifs et de soutien,12020,75,23,29
Activites de services administratifs et de soutien,12020,75,24,124
Activites de services administratifs et de soutien,12020,75,33,378
Activites de services administratifs et de soutien,12020,75,40,129
Activites de services administratifs et de soutien,12020,75,47,67
Activites de services administratifs et de soutien,12020,75,64,123
Activites de services administratifs et de soutien,12020,75,79,48
Activites de services administratifs et de soutien,12020,75,86,81
Activites de services administratifs et de soutien,12020,75,87,65
Activites de services administratifs et de soutien,12020,76,9,89
Activites de services administratifs et de soutien,12020,76,11,156
Activites de services administratifs et de soutien,12020,76,12,39
Activites de services administratifs et de soutien,12020,76,30,210
Activites de services administratifs et de soutien,12020,76,31,325
Activites de services administratifs et de soutien,12020,76,32,95
Activites de services administratifs et de soutien,12020,76,34,273
Activites de services administratifs et de soutien,12020,76,46,50
Activites de services administratifs et de soutien,12020,76,48,6
Activites de services administratifs et de soutien,12020,76,65,77
Activites de services administratifs et de soutien,12020,76,66,102
Activites de services administratifs et de soutien,12020,76,81,96
Activites de services administratifs et de soutien,12020,76,82,73
Activites de services administratifs et de soutien,12020,84,1,130
Activites de services administratifs et de soutien,12020,84,3,59
Activites de services administratifs et de soutien,12020,84,7,92
Activites de services administratifs et de soutien,12020,84,15,39
Activites de services administratifs et de soutien,12020,84,26,105
Activites de services administratifs et de soutien,12020,84,38,277
Activites de services administratifs et de soutien,12020,84,42,143
Activites de services administratifs et de soutien,12020,84,43,42
Activites de services administratifs et de soutien,12020,84,63,80
Activites de services administratifs et de soutien,12020,84,69,494
Activites de services administratifs et de soutien,12020,84,73,147
Activites de services administratifs et de soutien,12020,84,74,188
Activites de services administratifs et de soutien,12020,93,4,41
Activites de services administratifs et de soutien,12020,93,5,36
Activites de services administratifs et de soutien,12020,93,6,432
Activites de services administratifs et de soutien,12020,93,13,501
Activites de services administratifs et de soutien,12020,93,83,354
Activites de services administratifs et de soutien,12020,93,84,138
Activites de services administratifs et de soutien,12020,94,2A,47
Activites de services administratifs et de soutien,12020,94,2B,52
Activites de services administratifs et de soutien,12021,1,971,389
Activites de services administratifs et de soutien,12021,2,972,1072
Activites de services administratifs et de soutien,12021,3,973,85
Activites de services administratifs et de soutien,12021,4,974,246
Activites de services administratifs et de soutien,12021,6,976,30
Activites de services administratifs et de soutien,12021,11,75,1008
Activites de services administratifs et de soutien,12021,11,77,353
Activites de services administratifs et de soutien,12021,11,78,320
Activites de services administratifs et de soutien,12021,11,91,328
Activites de services administratifs et de soutien,12021,11,92,356
Activites de services administratifs et de soutien,12021,11,93,539
Activites de services administratifs et de soutien,12021,11,94,360
Activites de services administratifs et de soutien,12021,11,95,297
Activites de services administratifs et de soutien,12021,24,18,66
Activites de services administratifs et de soutien,12021,24,28,146
Activites de services administratifs et de soutien,12021,24,36,78
Activites de services administratifs et de soutien,12021,24,37,116
Activites de services administratifs et de soutien,12021,24,41,92
Activites de services administratifs et de soutien,12021,24,45,146
Activites de services administratifs et de soutien,12021,24,28,4
Activites de services administratifs et de soutien,12021,27,21,162
Activites de services administratifs et de soutien,12021,27,25,122
Activites de services administratifs et de soutien,12021,27,39,75
Activites de services administratifs et de soutien,12021,27,58,58
Activites de services administratifs et de soutien,12021,27,70,104
Activites de services administratifs et de soutien,12021,27,71,138
Activites de services administratifs et de soutien,12021,27,89,99
Activites de services administratifs et de soutien,12021,27,90,39
Activites de services administratifs et de soutien,12021,28,14,134
Activites de services administratifs et de soutien,12021,28,27,130
Activites de services administratifs et de soutien,12021,28,50,133
Activites de services administratifs et de soutien,12021,28,61,82
Activites de services administratifs et de soutien,12021,28,76,208
Activites de services administratifs et de soutien,12021,32,2,122
Activites de services administratifs et de soutien,12021,32,59,403
Activites de services administratifs et de soutien,12021,32,60,210
Activites de services administratifs et de soutien,12021,32,62,264
Activites de services administratifs et de soutien,12021,32,80,145
Activites de services administratifs et de soutien,12021,32,62,1
Activites de services administratifs et de soutien,12021,44,8,61
Activites de services administratifs et de soutien,12021,44,10,65
Activites de services administratifs et de soutien,12021,44,51,150
Activites de services administratifs et de soutien,12021,44,52,48
Activites de services administratifs et de soutien,12021,44,54,158
Activites de services administratifs et de soutien,12021,44,55,21
Activites de services administratifs et de soutien,12021,44,57,185
Activites de services administratifs et de soutien,12021,44,67,220
Activites de services administratifs et de soutien,12021,44,68,145
Activites de services administratifs et de soutien,12021,44,88,104
Activites de services administratifs et de soutien,12021,44,88,1
Activites de services administratifs et de soutien,12021,52,44,304
Activites de services administratifs et de soutien,12021,52,49,118
Activites de services administratifs et de soutien,12021,52,53,56
Activites de services administratifs et de soutien,12021,52,72,75
Activites de services administratifs et de soutien,12021,52,85,161
Activites de services administratifs et de soutien,12021,52,44,1
Activites de services administratifs et de soutien,12021,53,22,125
Activites de services administratifs et de soutien,12021,53,29,155
Activites de services administratifs et de soutien,12021,53,35,203
Activites de services administratifs et de soutien,12021,53,56,160
Activites de services administratifs et de soutien,12021,75,16,129
Activites de services administratifs et de soutien,12021,75,17,214
Activites de services administratifs et de soutien,12021,75,19,89
Activites de services administratifs et de soutien,12021,75,23,27
Activites de services administratifs et de soutien,12021,75,24,166
Activites de services administratifs et de soutien,12021,75,33,480
Activites de services administratifs et de soutien,12021,75,40,158
Activites de services administratifs et de soutien,12021,75,47,95
Activites de services administratifs et de soutien,12021,75,64,176
Activites de services administratifs et de soutien,12021,75,79,67
Activites de services administratifs et de soutien,12021,75,86,92
Activites de services administratifs et de soutien,12021,75,87,75
Activites de services administratifs et de soutien,12021,75,40,1
Activites de services administratifs et de soutien,12021,76,9,118
Activites de services administratifs et de soutien,12021,76,11,189
Activites de services administratifs et de soutien,12021,76,12,67
Activites de services administratifs et de soutien,12021,76,30,305
Activites de services administratifs et de soutien,12021,76,31,406
Activites de services administratifs et de soutien,12021,76,32,116
Activites de services administratifs et de soutien,12021,76,34,299
Activites de services administratifs et de soutien,12021,76,46,55
Activites de services administratifs et de soutien,12021,76,48,15
Activites de services administratifs et de soutien,12021,76,65,110
Activites de services administratifs et de soutien,12021,76,66,140
Activites de services administratifs et de soutien,12021,76,81,89
Activites de services administratifs et de soutien,12021,76,82,83
Activites de services administratifs et de soutien,12021,84,1,162
Activites de services administratifs et de soutien,12021,84,3,95
Activites de services administratifs et de soutien,12021,84,7,102
Activites de services administratifs et de soutien,12021,84,15,63
Activites de services administratifs et de soutien,12021,84,26,107
Activites de services administratifs et de soutien,12021,84,38,357
Activites de services administratifs et de soutien,12021,84,42,198
Activites de services administratifs et de soutien,12021,84,43,72
Activites de services administratifs et de soutien,12021,84,63,141
Activites de services administratifs et de soutien,12021,84,69,475
Activites de services administratifs et de soutien,12021,84,73,174
Activites de services administratifs et de soutien,12021,84,74,223
Activites de services administratifs et de soutien,12021,93,4,79
Activites de services administratifs et de soutien,12021,93,5,57
Activites de services administratifs et de soutien,12021,93,6,506
Activites de services administratifs et de soutien,12021,93,13,609
Activites de services administratifs et de soutien,12021,93,83,474
Activites de services administratifs et de soutien,12021,93,84,194
Activites de services administratifs et de soutien,12021,94,2A,91
Activites de services administratifs et de soutien,12021,94,2B,70
Activites de services administratifs et de soutien,12022,1,971,369
