Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012019,11,093,392
Activites de services administratifs et de soutien,012019,11,094,277
Activites de services administratifs et de soutien,012019,11,095,252
Activites de services administratifs et de soutien,012019,24,018,54
Activites de services administratifs et de soutien,012019,24,028,106
Activites de services administratifs et de soutien,012019,24,036,31
Activites de services administratifs et de soutien,012019,24,037,80
Activites de services administratifs et de soutien,012019,24,041,68
Activites de services administratifs et de soutien,012019,24,045,116
Activites de services administratifs et de soutien,012019,27,021,106
Activites de services administratifs et de soutien,012019,27,025,70
Activites de services administratifs et de soutien,012019,27,039,63
Activites de services administratifs et de soutien,012019,27,058,27
Activites de services administratifs et de soutien,012019,27,070,77
Activites de services administratifs et de soutien,012019,27,071,90
Activites de services administratifs et de soutien,012019,27,089,48
Activites de services administratifs et de soutien,012019,27,090,23
Activites de services administratifs et de soutien,012019,28,014,123
Activites de services administratifs et de soutien,012019,28,027,84
Activites de services administratifs et de soutien,012019,28,050,106
Activites de services administratifs et de soutien,012019,28,061,62
Activites de services administratifs et de soutien,012019,28,076,156
Activites de services administratifs et de soutien,012019,28,14,1
Activites de services administratifs et de soutien,012019,32,002,75
Activites de services administratifs et de soutien,012019,32,059,269
Activites de services administratifs et de soutien,012019,32,060,174
Activites de services administratifs et de soutien,012019,32,062,192
Activites de services administratifs et de soutien,012019,32,080,83
Activites de services administratifs et de soutien,012019,44,008,39
Activites de services administratifs et de soutien,012019,44,010,54
Activites de services administratifs et de soutien,012019,44,051,109
Activites de services administratifs et de soutien,012019,44,052,27
Activites de services administratifs et de soutien,012019,44,054,94
Activites de services administratifs et de soutien,012019,44,055,13
Activites de services administratifs et de soutien,012019,44,057,120
Activites de services administratifs et de soutien,012019,44,067,133
Activites de services administratifs et de soutien,012019,44,068,86
Activites de services administratifs et de soutien,012019,44,088,58
Activites de services administratifs et de soutien,012019,44,88,2
Activites de services administratifs et de soutien,012019,52,044,202
Activites de services administratifs et de soutien,012019,52,049,92
Activites de services administratifs et de soutien,012019,52,053,46
Activites de services administratifs et de soutien,012019,52,072,53
Activites de services administratifs et de soutien,012019,52,085,130
Activites de services administratifs et de soutien,012019,53,022,77
Activites de services administratifs et de soutien,012019,53,029,102
Activites de services administratifs et de soutien,012019,53,035,135
Activites de services administratifs et de soutien,012019,53,056,145
Activites de services administratifs et de soutien,012019,75,016,87
Activites de services administratifs et de soutien,012019,75,017,152
Activites de services administratifs et de soutien,012019,75,019,58
